tld,keywords
ink,"writing,pen,tattoo,printing,liquid"
institute,"education,research,organization,academic,training"
insure,"insurance,protection,coverage,policy,guarantee"
international,"global,worldwide,foreign,multinational,overseas"
investments,"finance,portfolio,money,trading,assets"
io,"tech,startup,development,api,platform"
irish,"ireland,celtic,culture,european,gaelic"
is,"iceland,be,exist,identity,country"
jetzt,"now,german,current,immediate,present"
jewelry,"jewellery,accessories,precious,luxury,ornaments"
jf,"domain,short,abbreviation,code,identifier"
jp.net,"japan,network,internet,japanese,asian"
jpn.com,"japan,commercial,business,japanese,asian"
juegos,"games,spanish,gaming,entertainment,play"
kaufen,"buy,german,purchase,shopping,commerce"
kids,"children,family,young,education,parenting"
kim,"name,korean,person,identity,individual"
kitchen,"cooking,home,appliance,food,culinary"
kiwi,"new,zealand,fruit,bird,green"
kj,"kilojoule,energy,measurement,nutrition,calorie"
krd,"kurdish,kurdistan,culture,language,ethnic"
kyoto,"japan,city,japanese,cultural,historic"
la,"los,angeles,california,louisiana,country"
land,"property,real,estate,ground,territory"
lat,"latitude,location,coordinate,geography,position"
law,"legal,attorney,lawyer,court,justice"
lawyer,"legal,attorney,law,advocate,court"
lease,"rental,contract,agreement,property,vehicle"
legal,"law,attorney,lawyer,court,legitimate"
lgbt,"lesbian,gay,bisexual,transgender,pride"
li,"liechtenstein,link,list,item,country"
life,"living,existence,vitality,lifestyle,biography"
lifestyle,"living,health,fashion,culture,personal"
lighting,"illumination,lamps,electrical,design,home"
limited,"ltd,company,restricted,exclusive,finite"
limo,"limousine,luxury,transport,vehicle,wedding"
link,"connection,url,web,hyperlink,relationship"
live,"real,time,streaming,broadcast,alive"
living,"lifestyle,home,residence,alive,existing"
llc,"limited,liability,company,business,corporation"
loan,"finance,credit,money,lending,mortgage"
loans,"finance,credit,money,lending,mortgages"
locker,"storage,security,container,gym,school"
lol,"laugh,out,loud,funny,humor"
london,"england,city,uk,british,capital"
love,"affection,romance,heart,passion,relationship"
ltd,"limited,company,business,corporation,enterprise"
ltda,"limitada,company,spanish,business,corporation"
luxury,"premium,expensive,high,end,exclusive"
maison,"house,home,french,building,residence"
makeup,"cosmetics,beauty,foundation,lipstick,skincare"
management,"business,administration,leadership,corporate,organization"
market,"marketplace,shopping,trading,commerce,economy"
marketing,"advertising,promotion,business,sales,digital"
markets,"trading,commerce,economy,financial,business"
mba,"master,business,administration,education,degree"
me,"personal,individual,portfolio,branding,identity"
me.uk,"united,kingdom,personal,british,individual"
media,"communication,news,entertainment,digital,content"
melbourne,"australia,city,australian,victoria,urban"
meme,"internet,funny,viral,culture,social"
memorial,"remembrance,tribute,monument,commemoration,memory"
men,"male,masculine,gender,clothing,lifestyle"
menu,"food,restaurant,list,options,navigation"
mex.com,"mexico,commercial,business,mexican,north"
miami,"florida,city,american,beach,tropical"
mobi,"mobile,phone,wireless,cellular,portable"
moda,"fashion,style,clothing,trend,design"
moe,"anime,manga,japanese,culture,cute"
mom,"mother,parent,family,maternal,female"
money,"finance,currency,cash,wealth,income"
monster,"large,creature,job,search,huge"
mortgage,"loan,real,estate,finance,housing"
motorcycles,"bikes,vehicles,transport,riding,automotive"
mov,"movie,video,quicktime,file,format"
movie,"film,cinema,entertainment,video,hollywood"
music,"audio,sound,song,musical,entertainment"
mwallet,"mobile,wallet,payment,digital,finance"
mx,"mexico,mexican,north,america,country"
my,"malaysia,personal,individual,own,country"
nagoya,"japan,city,japanese,central,urban"
name,"identity,personal,title,designation,label"
navy,"military,naval,marine,blue,defense"
net,"network,internet,technology,service,provider"
net.au,"australia,network,internet,australian,oceania"
net.cn,"china,network,internet,chinese,asian"
net.im,"isle,man,network,internet,offshore"
net.pe,"peru,network,internet,peruvian,south"
net.ph,"philippines,network,internet,filipino,asian"
net.vc,"vincent,grenadines,network,internet,caribbean"
network,"internet,connection,social,computer,system"
new,"fresh,recent,latest,modern,updated"
news,"media,journalism,breaking,current,information"
nexus,"connection,hub,center,link,google"
ngo,"nonprofit,organization,charity,humanitarian,social"
ninja,"warrior,stealth,martial,arts,skill"
nl,"netherlands,dutch,europe,business,country"
nom.es,"spain,name,spanish,domain,european"
now,"current,immediate,present,today,instant"
nu,"nu,sweden,new,naked,bare"
nyc,"new,york,city,american,urban"
observer,"watcher,monitor,newspaper,viewer,analyst"
oflinewallet,"offline,wallet,cryptocurrency,storage,secure"
okinawa,"japan,island,japanese,tropical,pacific"
one,"single,number,unity,individual,first"
ong,"organization,nonprofit,ngo,charity,social"
onl,"online,internet,web,digital,virtual"
online,"internet,digital,web,virtual,cyber"
org,"nonprofit,organization,community,charity,advocacy"
org.au,"australia,organization,nonprofit,australian,oceania"
org.cn,"china,organization,nonprofit,chinese,asian"
org.es,"spain,organization,nonprofit,spanish,european"
org.im,"isle,man,organization,nonprofit,offshore"
org.mx,"mexico,organization,nonprofit,mexican,north"
org.pe,"peru,organization,nonprofit,peruvian,south"
org.ph,"philippines,organization,nonprofit,filipino,asian"
org.uk,"united,kingdom,organization,nonprofit,british"
org.vc,"vincent,grenadines,organization,nonprofit,caribbean"
osaka,"japan,city,japanese,urban,commercial"
page,"web,document,book,leaf,website"
paris,"france,city,french,european,romantic"
partners,"business,relationship,collaboration,associates,firm"
parts,"components,auto,spare,machinery,elements"
party,"celebration,political,group,event,fun"
pe,"peru,peruvian,south,america,country"
pet,"animal,companion,dog,cat,care"
ph,"philippines,filipino,asia,business,country"
phd,"doctor,philosophy,degree,education,doctorate"
photo,"photography,picture,image,camera,visual"
photography,"photo,camera,picture,image,professional"
photos,"pictures,images,photography,gallery,visual"
pics,"pictures,images,photos,visual,gallery"
pictures,"photos,images,visual,photography,gallery"
pink,"color,feminine,breast,cancer,awareness"
pizza,"food,italian,restaurant,delivery,cheese"
place,"location,position,spot,area,site"
plumbing,"pipes,water,plumber,repair,installation"
plus,"additional,extra,premium,enhanced,upgraded"
poker,"cards,gambling,game,casino,texas"
press,"media,journalism,news,printing,pressure"
pro,"professional,premium,advanced,expert,paid"
prodazha,"sale,russian,selling,commerce,marketplace"
productions,"film,entertainment,media,manufacturing,creation"
prof,"professor,professional,academic,teacher,expert"
promo,"promotion,marketing,discount,advertising,special"
properties,"real,estate,property,housing,land"
property,"real,estate,land,housing,ownership"
protection,"security,safety,insurance,defense,shield"
pub,"public,publication,bar,tavern,publisher"
pw,"palau,password,pacific,island,country"
quest,"search,adventure,mission,journey,game"
racing,"sport,speed,competition,horse,car"
realty,"real,estate,property,housing,land"
recipes,"cooking,food,kitchen,culinary,ingredients"
red,"color,communist,stop,danger,wine"
rehab,"rehabilitation,recovery,treatment,therapy,addiction"
reise,"travel,german,journey,trip,vacation"
reisen,"travel,german,journey,trip,vacation"
rent,"rental,lease,property,housing,car"
rentals,"rental,lease,property,housing,car"
repair,"fix,maintenance,service,restoration,mechanic"
report,"news,document,analysis,information,study"
republican,"political,party,conservative,gop,right"
rest,"relaxation,sleep,remainder,break,api"
restaurant,"food,dining,cuisine,eating,hospitality"
review,"evaluation,assessment,critique,feedback,rating"
reviews,"evaluations,assessments,critiques,feedback,ratings"
rip,"rest,in,peace,death,tear"
rocks,"stone,geology,music,awesome,solid"
rodeo,"cowboy,western,horse,riding,competition"
rsvp,"please,respond,invitation,reply,event"
run,"exercise,operate,manage,sprint,jog"
sa.com,"south,africa,commercial,business,african"
sale,"selling,discount,bargain,commerce,retail"
salon,"beauty,hair,spa,grooming,styling"
sarl,"company,french,limited,liability,business"
sats,"satellite,test,score,achievement,bitcoin"
sbs,"small,business,server,broadcasting,system"
school,"education,learning,student,academic,teaching"
schule,"school,german,education,learning,student"
science,"research,scientific,study,knowledge,laboratory"
se.net,"sweden,network,internet,swedish,european"
security,"safety,protection,cyber,guard,alarm"
services,"business,professional,support,assistance,provision"
sg,"singapore,singaporean,asia,business,country"
sh,"saint,helena,shell,script,country"
shiksha,"education,learning,indian,knowledge,school"
shizzle,"slang,cool,awesome,hip,trendy"
shoes,"footwear,fashion,sneakers,boots,walking"
shop,"shopping,store,retail,ecommerce,marketplace"
shopping,"retail,store,commerce,buying,mall"
show,"entertainment,performance,display,exhibition,television"
simp,"simple,person,character,gaming,internet"
singles,"dating,unmarried,individual,music,one"
site,"website,location,place,construction,internet"
ski,"skiing,snow,winter,sport,mountain"
skin,"dermatology,beauty,care,surface,covering"
so,"somalia,social,media,therefore,country"
soccer,"football,sport,game,ball,kick"
social,"networking,community,interaction,media,society"
software,"computer,program,application,digital,technology"
solar,"sun,energy,power,renewable,panel"
solutions,"answers,problem,solving,business,services"
soy,"soybean,food,protein,vegetarian,spanish"
space,"cosmos,universe,room,area,celestial"
storage,"warehouse,data,cloud,self,keeping"
store,"shop,retail,marketplace,commerce,business"
stream,"streaming,water,flow,video,live"
studio,"creative,production,design,art,workspace"
study,"research,education,learning,academic,examination"
style,"fashion,design,css,appearance,trend"
substack,"newsletter,writing,publishing,subscription,content"
sucks,"bad,awful,terrible,vacuum,disappointing"
supplies,"materials,equipment,office,medical,provisions"
supply,"provision,materials,equipment,inventory,chain"
support,"help,assistance,customer,service,technical"
supreme,"highest,ultimate,best,court,fashion"
surf,"surfing,internet,wave,ocean,browse"
surgery,"medical,operation,procedure,surgical,hospital"
sydney,"australia,city,australian,harbor,opera"
systems,"computer,network,organization,method,process"
tattoo,"ink,body,art,design,permanent"
tax,"taxation,finance,government,income,accounting"
taxi,"cab,transport,ride,vehicle,uber"
team,"group,collaboration,sports,work,together"
tech,"technology,technical,startup,innovation,digital"
tel,"telephone,communication,phone,contact,directory"
tennis,"sport,racket,court,game,ball"
theater,"theatre,performance,drama,entertainment,stage"
theatre,"theater,performance,drama,entertainment,stage"
tickets,"event,travel,booking,admission,concert"
tienda,"store,shop,spanish,retail,commerce"
tips,"advice,gratuity,suggestion,help,guidance"
tires,"tyres,automotive,car,rubber,wheel"
to,"tonga,link,redirect,destination,preposition"
today,"current,now,present,daily,contemporary"
tokyo,"japan,city,japanese,capital,urban"
tools,"equipment,instruments,software,utilities,hardware"
top,"best,highest,peak,leading,superior"
tours,"travel,tourism,guided,sightseeing,vacation"
town,"city,municipality,community,urban,local"
toys,"playthings,children,games,fun,entertainment"
trade,"commerce,business,trading,profession,exchange"
trading,"commerce,finance,stock,forex,business"
training,"education,learning,exercise,coaching,development"
travel,"tourism,vacation,trip,journey,booking"
tube,"youtube,pipe,subway,television,cylindrical"
tv,"television,media,streaming,video,entertainment"
u2,"band,music,rock,irish,group"
uk,"united,kingdom,british,england,country"
uk.com,"united,kingdom,commercial,british,business"
uk.net,"united,kingdom,network,british,internet"
university,"education,college,higher,learning,academic"
uno,"one,spanish,game,card,number"
us,"united,states,america,american,country"
us.com,"united,states,commercial,american,business"
us.org,"united,states,organization,american,nonprofit"
vacations,"holidays,travel,tourism,vacation,break"
vana,"name,personal,individual,identity,vanity"
vc,"venture,capital,investment,vincent,grenadines"
vegas,"las,vegas,gambling,casino,entertainment"
ventures,"business,startup,investment,enterprise,venture"
vet,"veterinarian,animal,doctor,veteran,medical"
viajes,"travel,spanish,tourism,trip,journey"
video,"multimedia,streaming,entertainment,content,visual"
villas,"luxury,homes,vacation,rental,property"
vin,"wine,vehicle,identification,number,vintage"
vip,"very,important,person,exclusive,premium"
vision,"sight,eyesight,goal,future,optical"
vodka,"alcohol,spirit,drink,russian,beverage"
voice,"sound,speech,vocal,communication,singing"
vote,"election,voting,democracy,ballot,choice"
voting,"election,democracy,ballot,poll,suffrage"
voto,"vote,spanish,election,democracy,ballot"
voyage,"journey,travel,trip,cruise,exploration"
w3n,"web,domain,internet,network,technology"
wales,"welsh,country,uk,celtic,britain"
watch,"timepiece,observe,monitor,wrist,viewing"
webcam,"camera,streaming,video,internet,surveillance"
website,"internet,web,site,online,digital"
wedding,"marriage,ceremony,bridal,celebration,matrimony"
wiki,"knowledge,collaborative,information,wikipedia,reference"
win,"victory,success,triumph,prize,windows"
wine,"alcohol,beverage,grape,vintage,winery"
work,"job,employment,labor,office,career"
works,"functions,operates,employment,factory,art"
world,"global,earth,planet,international,universe"
ws,"website,web,services,samoa,country"
wtf,"what,the,heck,surprise,confusion"
xg,"domain,short,identifier,code,extension"
xq,"domain,short,identifier,code,extension"
xyz,"generation,young,tech,modern,alternative"
yachts,"boats,luxury,sailing,marine,wealthy"
yoga,"exercise,meditation,wellness,flexibility,spiritual"
za.com,"south,africa,commercial,business,african"
zip,"postal,code,compression,fast,archive"
zone,"area,region,domain,time,sector"
